t,consumo,produzione
2025-10-01 09:24:30,2197,459
2025-10-01 09:25:31,2189,442
2025-10-01 09:26:30,2197,424
2025-10-01 09:27:30,2161,405
2025-10-01 09:28:30,1018,385
2025-10-01 09:29:31,218,379
2025-10-01 09:30:30,224,371
2025-10-01 09:31:30,226,383
2025-10-01 09:32:30,179,396
2025-10-01 09:33:30,184,392
2025-10-01 09:34:31,187,395
2025-10-01 09:35:30,223,398
2025-10-01 09:36:30,223,406
2025-10-01 09:37:30,209,397
2025-10-01 09:38:30,183,373
2025-10-01 09:39:31,185,333
2025-10-01 09:40:30,199,307
2025-10-01 09:41:30,215,286
2025-10-01 09:42:30,217,265
2025-10-01 09:43:30,209,243
2025-10-01 09:44:31,182,214
2025-10-01 09:45:30,169,189
2025-10-01 09:46:30,209,177
2025-10-01 09:47:30,220,169
2025-10-01 09:48:30,201,157
2025-10-01 09:49:30,170,143
2025-10-01 09:50:31,152,125
2025-10-01 09:51:30,145,109
2025-10-01 09:52:30,193,97
2025-10-01 09:53:30,192,88
2025-10-01 09:54:31,184,92
2025-10-01 09:55:30,166,97
2025-10-01 09:56:30,145,97
2025-10-01 09:57:30,163,102
2025-10-01 09:58:30,151,113
2025-10-01 09:59:30,113,134
2025-10-01 10:00:31,117,182
2025-10-01 10:01:30,115,269
2025-10-01 10:02:30,154,382
2025-10-01 10:03:30,193,464
2025-10-01 10:04:30,233,489
2025-10-01 10:05:31,226,472
2025-10-01 10:06:30,75,449
2025-10-01 10:07:30,112,425
2025-10-01 10:08:30,167,402
2025-10-01 10:09:30,228,390
2025-10-01 10:10:30,244,394
2025-10-01 10:11:31,242,394
2025-10-01 10:12:30,242,386
2025-10-01 10:13:30,247,380
2025-10-01 10:14:30,244,379
2025-10-01 10:15:30,176,379
2025-10-01 10:16:31,113,376
2025-10-01 10:17:30,124,358
2025-10-01 10:18:30,148,301
2025-10-01 10:19:30,190,209
2025-10-01 10:20:30,264,134
2025-10-01 10:21:31,164,96
2025-10-01 10:22:30,84,77
2025-10-01 10:23:30,127,70
2025-10-01 10:24:30,219,69
2025-10-01 10:25:30,277,72
2025-10-01 10:26:31,280,69
2025-10-01 10:27:30,279,70
2025-10-01 10:28:30,285,79
2025-10-01 10:29:30,284,96
2025-10-01 10:30:30,289,114
2025-10-01 10:31:31,170,133
2025-10-01 10:32:30,279,146
2025-10-01 10:33:30,299,148
2025-10-01 10:34:30,167,143
2025-10-01 10:35:30,151,141
2025-10-01 10:36:31,155,139
2025-10-01 10:37:30,160,134
2025-10-01 10:38:30,176,140
2025-10-01 10:39:30,218,154
