nohup: ignoring input
[26-01-13 01:30] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 01:40] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 01:50] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 02:00] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 02:10] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 02:20] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 02:30] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 02:40] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 02:50] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 03:00] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 03:10] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 03:20] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 03:30] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 03:40] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 03:50] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 04:00] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 04:10] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 04:20] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 04:30] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 04:40] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 04:50] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 05:00] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 05:10] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 05:20] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 05:30] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 05:40] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 05:50] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 06:00] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 06:11] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 06:21] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 06:31] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
